student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,grade
S1038,17,Male,3.8,1.7,1.4,False,70.3,7.0,Poor,0,Bachelor,Good,1,False,58.1,DC
S1039,19,Male,5.5,3.1,2.3,False,71.3,5.7,Good,1,High School,Average,3,False,82.3,BB
S1040,19,Female,3.7,4.7,2.0,False,98.8,8.5,Good,6,Bachelor,Good,2,False,69.7,CC
S1041,23,Female,2.9,2.3,2.3,False,86.2,7.2,Good,6,Bachelor,Average,1,False,66.0,CC
S1042,18,Male,3.7,3.4,2.0,False,88.9,6.8,Fair,3,High School,Poor,1,True,63.5,CC
S1043,24,Female,4.3,0.9,3.2,False,62.8,7.1,Poor,0,Bachelor,Good,2,False,65.7,CC
S1044,20,Female,3.6,1.4,0.8,False,73.0,5.3,Good,4,High School,Poor,9,False,78.5,CB
S1045,20,Male,3.6,3.1,1.1,False,93.9,8.4,Fair,1,Bachelor,Average,5,True,75.1,CB
S1046,24,Male,2.4,4.3,1.0,False,87.9,8.9,Poor,5,High School,Average,9,True,71.0,CB
S1047,23,Female,2.5,2.9,2.7,False,83.5,7.0,Good,4,Primary School,Good,8,True,59.7,DC
S1048,22,Female,1.4,2.1,2.8,False,90.6,8.4,Fair,3,Bachelor,Good,6,False,52.6,DC
S1049,22,Female,6.1,2.5,2.3,False,100.0,5.8,Poor,5,High School,Average,1,False,96.5,AA
S1050,23,Female,1.6,1.0,3.1,False,82.8,5.5,Fair,4,Master,Good,10,True,62.0,CC
S1051,22,Female,2.5,3.2,0.5,False,85.7,6.5,Poor,0,High School,Average,5,False,59.7,DC
S1052,19,Female,2.4,3.6,3.6,False,86.9,7.0,Fair,6,High School,Average,1,False,48.4,DD
S1053,20,Female,4.8,2.0,3.5,False,100.0,6.0,Good,0,Bachelor,Good,7,True,70.6,CB
S1054,23,Female,3.1,1.9,2.6,True,64.0,7.1,Fair,5,High School,Good,10,False,68.1,CC
S1055,20,Male,5.4,2.8,3.8,False,91.8,6.9,Good,2,High School,Good,8,False,87.2,BA
S1056,24,Male,2.5,2.0,0.0,False,83.9,5.3,Good,6,Bachelor,Average,8,False,66.7,CC
S1057,17,Male,3.9,2.4,1.2,False,90.7,7.1,Good,1,Bachelor,Average,7,True,75.2,CB
S1058,19,Female,2.2,5.0,1.0,False,78.4,7.5,Poor,5,Master,Average,2,True,46.4,DD
S1059,21,Female,6.7,2.2,2.6,False,84.5,6.7,Good,3,Master,Average,5,True,97.1,AA
S1060,19,Female,1.7,2.1,0.6,True,92.1,7.9,Fair,1,High School,Average,4,False,61.2,CC
S1061,23,Male,4.0,1.7,2.6,False,100.0,5.0,Fair,4,Bachelor,Good,5,False,75.0,CB
S1062,21,Male,4.5,3.4,3.3,True,93.1,7.1,Good,6,High School,Good,10,False,94.7,AA
S1063,17,Male,4.1,2.3,2.6,True,76.5,5.1,Fair,3,Bachelor,Average,9,False,77.6,CB
S1064,23,Male,3.2,1.7,2.1,False,80.8,5.2,Good,3,High School,Poor,4,True,68.6,CC
S1065,18,Female,3.3,4.1,0.7,False,80.5,5.7,Poor,0,Master,Good,8,False,69.6,CC
S1066,20,Male,3.6,4.2,0.9,False,67.0,5.4,Good,4,Bachelor,Average,8,False,66.5,CC
S1067,17,Male,3.3,1.8,3.2,False,81.7,5.8,Poor,0,Master,Good,2,False,62.2,CC
S1068,20,Female,4.9,0.3,2.7,True,92.3,6.2,Good,0,Bachelor,Poor,6,False,82.1,BB
S1069,22,Male,6.8,3.7,1.8,False,72.3,7.5,Poor,6,Master,Average,5,False,100.0,AA
S1070,18,Female,2.7,1.7,1.3,False,95.5,6.1,Poor,2,Bachelor,Good,2,True,59.7,DC
S1071,18,Female,1.4,3.4,0.0,False,89.9,4.6,Fair,0,High School,Poor,10,True,55.1,DC
S1072,17,Male,3.4,0.1,0.6,False,77.7,7.9,Fair,1,High School,Average,4,True,77.1,CB
S1073,18,Female,7.4,3.6,3.9,False,83.6,5.5,Fair,3,High School,Average,7,True,97.7,AA
S1074,21,Female,2.3,1.0,0.4,False,100.0,6.4,Fair,6,Primary School,Good,1,False,66.9,CC
S1075,18,Female,6.0,3.4,2.0,True,92.3,7.0,Fair,0,Bachelor,Good,9,True,99.9,AA
S1076,20,Male,6.0,2.5,2.9,False,85.1,6.7,Poor,5,Bachelor,Average,10,True,100.0,AA
S1077,20,Female,2.7,1.4,0.4,False,82.6,7.8,Fair,1,Bachelor,Poor,1,False,57.2,DC
S1078,23,Female,4.4,2.0,2.0,True,85.8,7.1,Good,4,Master,Good,5,False,77.3,CB
S1079,20,Male,5.9,3.3,2.8,True,79.9,5.5,Good,3,Master,Average,7,False,91.6,AA
S1080,23,Male,2.9,2.6,1.8,False,64.0,9.1,Good,6,High School,Good,8,False,70.7,CB
S1081,20,Non-binary,3.2,3.2,5.0,False,100.0,6.7,Good,5,High School,Poor,2,False,57.6,DC
S1082,21,Female,2.6,4.9,0.0,True,86.6,6.3,Fair,6,High School,Poor,4,False,60.2,CC
S1083,24,Male,2.0,0.6,3.0,False,89.0,7.7,Poor,6,High School,Good,2,True,50.5,DC
S1084,23,Female,2.5,4.4,1.6,False,84.4,6.8,Fair,5,Bachelor,Average,4,False,51.3,DC
S1085,19,Male,1.7,2.6,2.6,False,77.6,7.0,Good,4,Bachelor,Good,6,False,53.5,DC
S1086,22,Male,3.6,1.4,2.3,False,83.1,9.5,Good,5,Bachelor,Poor,6,False,79.2,CB
S1087,17,Male,2.3,0.9,1.0,False,69.0,6.2,Fair,1,Master,Average,2,True,47.2,DD
S1088,20,Male,3.9,2.3,2.1,False,100.0,6.1,Poor,6,Bachelor,Good,4,False,73.4,CB
S1089,18,Male,1.2,3.6,0.0,False,72.7,6.6,Poor,4,High School,Average,4,True,41.1,DD
S1090,24,Male,4.0,2.3,2.5,False,74.7,7.8,Fair,6,Bachelor,Good,1,False,77.8,CB
S1091,20,Female,4.8,4.3,2.1,False,80.6,4.7,Fair,5,High School,Average,2,False,63.4,CC
S1092,18,Male,0.5,0.8,2.5,True,97.9,4.1,Poor,4,High School,Good,3,False,43.9,DD
S1093,22,Male,4.1,2.5,3.0,False,85.1,5.8,Good,4,Primary School,Good,5,False,70.2,CB
S1094,22,Female,5.3,1.0,2.2,False,72.6,4.5,Fair,0,High School,Average,8,False,81.3,BB
S1095,22,Male,1.7,2.9,2.0,False,97.5,6.0,Good,0,High School,Good,6,False,50.2,DC
S1096,18,Female,6.0,3.6,0.8,False,92.3,7.1,Good,0,High School,Good,3,False,87.9,BA
S1097,20,Male,4.1,2.0,1.0,False,90.4,5.4,Good,5,Bachelor,Average,6,False,80.9,BB
S1098,22,Male,2.4,0.0,3.1,False,92.2,4.8,Good,3,Bachelor,Good,7,True,63.9,CC
S1099,21,Male,3.4,2.7,3.4,False,100.0,6.6,Good,1,High School,Good,6,False,65.6,CC
S1100,23,Male,4.3,3.0,1.5,False,100.0,7.5,Good,5,Primary School,Average,10,True,93.2,AA
S1101,18,Male,3.6,3.0,1.9,False,78.1,4.5,Good,6,Bachelor,Average,6,False,74.0,CB
S1102,18,Male,4.3,4.0,0.8,False,100.0,7.5,Fair,0,Primary School,Average,1,False,60.8,CC
S1103,20,Male,2.1,1.2,3.1,False,88.8,7.5,Good,4,Master,Average,3,False,50.4,DC
S1104,18,Male,3.8,3.3,2.5,False,90.0,7.6,Good,5,Bachelor,Good,7,False,74.3,CB
S1105,18,Male,1.4,3.9,3.9,True,68.1,8.0,Good,4,High School,Average,4,True,32.8,FF
S1106,22,Male,3.3,0.4,0.8,False,83.3,9.1,Good,6,High School,Good,4,True,82.3,BB
S1107,20,Male,2.1,2.9,1.4,False,76.9,6.1,Fair,4,Primary School,Average,7,False,60.4,CC
S1108,22,Female,2.4,1.9,2.1,False,93.3,6.6,Poor,4,High School,Average,9,True,60.0,CC
S1109,23,Female,5.4,2.4,2.5,False,95.7,6.0,Fair,2,High School,Good,2,False,77.5,CB
S1110,24,Male,5.1,2.9,1.6,False,64.3,6.5,Fair,3,Bachelor,Average,9,True,86.5,BA
S1111,23,Female,4.4,1.9,0.8,False,84.8,8.3,Good,1,High School,Average,3,False,76.9,CB
S1112,24,Female,1.9,1.7,2.8,False,96.2,4.9,Fair,1,Bachelor,Poor,6,True,43.9,DD
S1113,22,Male,3.0,2.5,2.6,False,83.1,5.5,Fair,0,Bachelor,Average,4,False,51.3,DC
S1114,23,Female,5.3,1.2,0.8,False,92.3,8.2,Fair,2,High School,Average,1,False,83.3,BB
S1115,20,Female,3.7,1.2,3.3,False,88.5,7.7,Poor,5,Primary School,Good,9,False,82.7,BB
S1116,17,Male,7.0,3.3,3.1,False,88.4,6.1,Good,5,Primary School,Average,6,True,94.8,AA
S1117,22,Male,4.1,1.1,1.9,False,82.3,7.5,Good,1,Primary School,Good,8,False,80.8,BB
S1118,24,Female,3.8,3.3,1.9,False,72.8,6.9,Poor,3,Bachelor,Good,2,True,58.3,DC
S1119,21,Female,3.0,3.1,2.4,True,73.8,8.3,Fair,4,High School,Average,7,False,66.3,CC
S1120,24,Male,3.7,0.4,0.9,False,92.1,6.6,Fair,6,Bachelor,Average,6,False,87.9,BA
S1121,21,Male,3.3,1.7,1.8,False,85.2,7.7,Poor,0,High School,Good,2,False,60.5,CC
S1122,18,Male,4.6,3.9,0.0,False,83.6,9.7,Poor,3,High School,Good,2,False,84.8,BB
S1123,23,Female,4.9,1.3,2.8,False,80.8,7.2,Good,1,Bachelor,Average,4,False,77.0,CB
S1124,21,Female,2.3,1.9,0.1,False,81.9,6.6,Fair,2,Bachelor,Average,4,False,61.7,CC
S1125,24,Male,1.5,3.1,3.5,False,95.5,7.4,Fair,0,High School,Average,3,False,44.0,DD
S1126,18,Male,0.7,3.4,1.4,True,81.6,6.1,Poor,1,High School,Poor,8,False,42.4,DD
S1127,17,Female,4.3,2.2,1.6,False,71.6,9.4,Good,5,Bachelor,Good,7,False,88.0,BA
S1128,20,Male,1.8,1.8,1.1,False,92.4,6.7,Good,0,High School,Good,2,False,48.7,DD
S1129,20,Male,0.3,4.2,1.5,False,83.0,6.2,Good,1,High School,Average,3,True,26.8,FF
S1130,20,Female,4.1,4.6,3.4,False,85.3,5.5,Poor,5,Bachelor,Good,10,False,81.6,BB
S1131,21,Female,7.2,3.7,0.0,False,100.0,7.8,Good,6,High School,Good,9,False,100.0,AA
S1132,17,Female,3.5,2.6,3.2,True,84.8,7.5,Fair,5,Bachelor,Average,5,True,74.0,CB
S1133,21,Female,4.8,1.5,2.2,False,87.9,5.9,Fair,4,Bachelor,Poor,2,True,78.4,CB
S1134,23,Male,3.6,1.5,0.5,False,73.2,7.2,Fair,2,Bachelor,Good,3,False,70.7,CB
S1135,21,Male,3.4,3.1,0.6,False,82.8,4.7,Fair,4,Bachelor,Good,8,False,74.3,CB
S1136,17,Female,4.9,3.0,3.6,False,91.1,6.7,Good,1,Bachelor,Good,4,False,67.6,CC
S1137,17,Male,3.1,4.2,0.8,False,69.4,7.0,Good,6,Bachelor,Poor,2,False,64.7,CC
S1138,23,Male,3.9,3.3,0.5,False,87.0,8.5,Fair,3,Master,Average,2,False,64.1,CC
S1139,17,Male,4.0,0.7,3.1,False,86.0,5.6,Good,6,High School,Poor,6,False,83.5,BB
S1140,24,Male,2.5,3.8,2.2,False,85.4,5.0,Good,6,High School,Good,8,False,63.4,CC
S1141,17,Male,5.0,1.3,0.8,False,95.4,5.4,Good,6,Bachelor,Good,7,False,96.2,AA
S1142,20,Male,3.2,2.0,2.0,False,88.3,4.9,Fair,4,Bachelor,Poor,4,True,65.4,CC
S1143,24,Male,2.4,2.8,0.7,False,99.8,8.1,Fair,3,Primary School,Good,2,False,62.0,CC
S1144,24,Male,4.3,4.9,3.0,False,75.1,8.4,Fair,5,Master,Good,9,True,74.0,CB
S1145,23,Female,2.2,6.2,3.0,False,86.4,6.9,Good,1,Primary School,Good,4,False,46.7,DD
S1146,19,Female,3.5,3.2,2.4,False,85.8,8.0,Poor,2,Bachelor,Good,9,False,75.5,CB
S1147,19,Female,3.5,2.3,2.2,False,74.3,6.7,Fair,3,Bachelor,Poor,5,True,78.1,CB
S1148,17,Female,5.1,3.1,3.7,False,94.6,6.4,Fair,1,Master,Good,7,False,85.2,BA
S1149,24,Female,4.2,3.6,1.8,True,100.0,6.1,Fair,3,Primary School,Poor,5,False,75.4,CB
S1150,19,Male,3.5,2.1,0.5,True,84.8,6.1,Good,4,Bachelor,Average,2,False,64.2,CC
S1151,19,Female,4.7,4.7,2.3,False,90.1,4.6,Good,1,High School,Good,6,False,69.7,CC
S1152,17,Female,5.6,2.8,4.1,False,85.8,6.8,Good,4,High School,Good,7,False,90.3,AA
S1153,19,Female,4.3,3.1,0.7,False,77.9,6.5,Good,0,Primary School,Average,6,False,81.4,BB
S1154,21,Male,3.5,3.3,1.4,False,66.8,7.4,Fair,1,Bachelor,Good,3,False,65.0,CC
S1155,18,Male,1.5,3.0,2.3,False,77.9,6.6,Fair,3,High School,Good,10,False,57.3,DC
S1156,23,Male,1.9,3.5,1.7,True,71.1,6.3,Fair,0,High School,Good,8,False,57.7,DC
S1157,18,Male,3.0,1.8,0.7,False,100.0,5.5,Poor,4,Bachelor,Poor,3,False,56.7,DC
S1158,17,Female,2.6,1.8,3.0,False,83.8,6.6,Fair,4,Bachelor,Good,5,True,62.3,CC
S1159,20,Female,3.2,1.2,4.4,False,81.5,7.4,Good,3,Bachelor,Average,9,False,77.9,CB
S1160,23,Male,3.6,3.0,2.0,False,93.9,5.1,Fair,0,Master,Average,5,False,65.2,CC
S1161,17,Non-binary,4.3,3.4,0.8,False,73.8,6.6,Good,6,High School,Average,7,False,76.8,CB
S1162,24,Female,3.4,3.0,0.1,False,77.3,6.8,Fair,5,Master,Average,7,False,83.8,BB
S1163,20,Male,4.2,4.5,2.1,False,85.7,5.6,Poor,2,Master,Good,5,False,70.6,CB
S1164,18,Male,3.6,2.5,3.0,False,95.3,5.8,Poor,3,High School,Average,2,True,63.1,CC
S1165,17,Male,0.5,3.3,2.3,False,90.0,6.8,Fair,4,High School,Good,5,False,39.0,FF
S1166,24,Male,2.1,1.2,1.8,False,87.5,5.1,Fair,1,High School,Average,7,False,66.7,CC
S1167,23,Male,3.3,2.0,1.2,True,85.8,6.9,Poor,0,High School,Good,7,False,72.2,CB
S1168,23,Male,1.7,3.3,0.6,False,89.0,5.4,Fair,5,Bachelor,Good,4,True,50.1,DC
S1169,22,Male,4.4,3.5,2.7,True,87.0,7.8,Fair,2,Bachelor,Good,1,False,62.4,CC
S1170,24,Male,5.8,2.1,2.8,False,74.7,9.3,Fair,1,Bachelor,Good,6,False,96.6,AA
S1171,21,Female,5.3,2.4,0.1,False,85.5,5.5,Good,0,Bachelor,Good,3,True,85.8,BA
S1172,19,Male,3.2,0.7,3.5,False,74.3,7.1,Good,5,High School,Good,5,False,68.3,CC
S1173,20,Female,5.7,2.1,2.4,False,85.8,5.6,Fair,3,Master,Good,4,True,83.8,BB
S1174,24,Male,3.7,3.6,3.3,True,80.2,7.7,Good,5,High School,Poor,2,False,69.3,CC
S1175,22,Non-binary,3.0,3.2,0.3,False,100.0,5.0,Good,3,Master,Good,7,False,65.3,CC
S1176,19,Male,2.6,3.1,0.3,False,84.6,7.1,Good,6,High School,Average,5,True,77.5,CB
S1177,19,Male,3.0,2.6,1.6,False,71.0,5.5,Fair,0,Master,Average,7,True,55.0,DC
S1178,17,Non-binary,2.9,2.5,2.4,True,83.7,6.3,Poor,5,Primary School,Good,9,False,65.2,CC
S1179,19,Female,3.8,1.7,3.8,False,90.2,5.3,Good,2,High School,Average,4,False,58.1,DC
S1180,21,Female,3.7,3.3,2.6,True,100.0,7.5,Fair,5,Primary School,Good,5,False,69.2,CC
S1181,23,Male,3.5,3.0,1.5,True,79.1,5.5,Good,0,Bachelor,Average,9,False,67.4,CC
S1182,22,Male,4.2,3.1,0.7,False,69.2,7.2,Good,1,Master,Poor,10,False,79.9,CB
S1183,19,Female,5.3,1.9,3.2,False,93.2,6.1,Fair,1,High School,Average,4,True,85.7,BA
S1184,17,Female,4.9,0.0,0.7,False,71.2,6.4,Fair,5,Master,Poor,5,False,96.2,AA
S1185,21,Female,1.3,3.8,3.6,True,80.6,6.7,Fair,5,Bachelor,Good,5,False,40.4,DD
S1186,18,Female,0.0,1.9,1.5,False,82.4,5.6,Fair,3,Bachelor,Average,8,False,55.2,DC
S1187,23,Male,4.9,1.5,3.5,False,84.3,6.8,Fair,0,Bachelor,Average,4,False,73.8,CB
S1188,23,Female,1.4,3.3,2.5,False,91.9,8.3,Fair,3,High School,Poor,4,True,46.5,DD
S1189,22,Male,3.2,2.0,1.6,False,78.2,5.6,Fair,2,High School,Average,7,True,60.5,CC
S1190,23,Male,1.7,3.8,1.2,False,82.3,7.9,Poor,6,Master,Good,5,False,55.4,DC
S1191,19,Male,0.8,3.2,1.4,False,84.9,8.3,Good,1,Master,Average,6,False,45.1,DD
S1192,17,Female,4.3,3.3,2.3,False,86.5,5.5,Poor,4,Master,Good,6,False,69.4,CC
S1193,23,Male,4.6,0.9,1.9,False,86.0,4.8,Good,4,Master,Good,6,False,81.3,BB
S1194,23,Male,2.6,4.0,1.1,False,89.4,6.9,Good,0,High School,Good,10,False,66.6,CC
S1195,18,Female,0.0,2.8,1.6,False,93.4,5.8,Fair,0,Bachelor,Good,5,False,26.7,FF
S1196,18,Male,2.7,2.1,1.9,False,88.9,8.7,Good,4,High School,Poor,5,False,64.5,CC
S1197,20,Female,4.1,2.7,0.0,False,89.5,6.5,Fair,0,Master,Average,9,True,87.1,BA
S1198,21,Male,1.3,0.4,2.3,True,69.2,5.5,Good,1,High School,Good,8,True,42.2,DD
S1199,19,Female,3.8,3.0,0.7,False,85.5,5.1,Fair,2,Bachelor,Good,4,False,61.6,CC
S1200,23,Female,3.5,1.3,0.5,False,89.8,7.8,Fair,2,Bachelor,Good,7,False,81.9,BB
S1201,24,Male,4.4,0.9,0.0,False,92.3,5.8,Fair,3,High School,Good,8,False,96.5,AA
S1202,23,Male,3.7,0.7,0.0,False,78.1,6.6,Fair,1,Primary School,Average,9,False,85.1,BA
S1203,17,Male,2.0,3.8,0.3,False,78.4,7.6,Fair,6,Master,Poor,5,False,58.5,DC
S1204,20,Male,5.3,1.7,1.0,False,79.3,5.9,Fair,0,Bachelor,Good,3,True,78.4,CB
S1205,21,Non-binary,3.3,4.3,3.9,False,90.4,6.4,Fair,0,High School,Good,4,False,56.4,DC
S1206,24,Male,3.5,1.9,1.2,False,95.3,6.5,Poor,6,Bachelor,Average,10,True,92.6,AA
S1207,20,Female,2.1,0.5,2.0,False,80.9,7.3,Poor,3,Bachelor,Good,6,True,62.3,CC
S1208,22,Male,2.8,1.2,2.2,True,94.1,7.2,Fair,3,High School,Average,10,False,75.8,CB
S1209,21,Female,2.2,4.0,1.9,False,86.2,6.2,Poor,0,High School,Average,5,True,47.1,DD
S1210,23,Female,3.2,2.3,1.7,True,83.8,6.6,Poor,0,Master,Good,9,False,66.3,CC
S1211,23,Female,6.1,1.8,0.5,False,82.9,6.1,Good,6,Bachelor,Good,3,True,98.3,AA
S1212,21,Male,1.4,2.7,3.4,False,92.5,4.7,Poor,1,Bachelor,Average,2,True,29.7,FF
S1213,23,Male,1.1,3.1,3.8,False,88.3,6.8,Good,6,Bachelor,Poor,6,False,45.5,DD
S1214,19,Male,5.7,3.8,0.0,False,100.0,8.8,Fair,3,Primary School,Average,7,False,100.0,AA
S1215,21,Female,3.2,4.2,0.7,False,76.5,5.4,Good,6,High School,Good,5,True,67.5,CC
S1216,20,Female,2.5,2.1,1.5,False,90.2,5.6,Fair,6,High School,Average,1,True,60.3,CC
S1217,21,Non-binary,5.1,0.9,0.7,False,79.7,5.5,Fair,6,High School,Good,3,False,87.0,BA
S1218,24,Male,2.6,2.0,2.4,False,76.3,7.4,Fair,1,Bachelor,Good,3,False,48.5,DD
S1219,23,Female,6.2,2.8,1.0,False,84.9,7.0,Fair,5,Master,Good,4,False,100.0,AA
S1220,19,Female,4.5,1.3,4.2,False,86.4,6.3,Fair,0,High School,Average,10,False,82.1,BB
S1221,19,Male,2.8,1.4,3.1,False,100.0,5.4,Poor,4,High School,Good,6,True,63.7,CC
S1222,22,Male,6.7,2.9,2.0,False,83.2,6.6,Good,6,Bachelor,Average,5,False,100.0,AA
S1223,20,Female,2.6,2.4,2.9,False,73.7,4.6,Fair,4,Master,Average,1,False,41.9,DD
S1224,18,Female,4.6,2.5,3.0,False,87.7,6.7,Fair,5,Bachelor,Poor,6,False,72.7,CB
S1225,18,Female,3.9,1.6,1.2,False,64.3,7.5,Good,0,Master,Average,9,True,74.3,CB
S1226,21,Male,5.5,2.2,0.9,True,84.1,5.0,Fair,3,Bachelor,Good,1,False,88.7,BA
S1227,22,Female,5.8,1.4,1.9,False,85.2,4.7,Good,4,Bachelor,Average,8,True,96.6,AA
S1228,17,Male,3.5,3.6,2.7,False,92.9,8.4,Fair,3,High School,Average,8,True,72.6,CB
S1229,21,Male,2.4,3.7,2.0,False,94.7,5.8,Good,4,High School,Good,3,True,52.4,DC
S1230,22,Male,4.2,0.3,0.1,False,80.0,7.9,Poor,3,High School,Poor,9,True,100.0,AA
S1231,20,Female,2.5,1.4,0.9,False,83.5,6.3,Good,6,Bachelor,Good,8,False,73.1,CB
S1232,20,Female,6.5,0.7,1.7,False,77.3,6.3,Good,4,Master,Average,3,False,100.0,AA
S1233,20,Female,3.7,1.7,1.7,False,73.7,7.0,Fair,3,Master,Poor,10,True,80.8,BB
S1234,20,Male,3.0,2.4,4.0,False,88.1,5.4,Poor,5,High School,Good,5,False,62.9,CC
S1235,20,Female,3.8,0.8,0.3,False,72.3,6.7,Fair,1,High School,Poor,3,False,71.5,CB
S1236,22,Male,1.5,1.4,2.4,False,80.9,6.0,Good,3,High School,Good,5,False,46.2,DD
S1237,22,Female,2.0,1.3,3.4,True,75.0,4.9,Fair,1,High School,Average,9,False,53.8,DC
S1238,19,Male,5.3,2.7,4.3,False,90.5,6.9,Fair,1,Bachelor,Poor,4,True,74.2,CB
S1239,24,Male,2.5,2.6,1.4,False,100.0,6.2,Poor,0,Master,Poor,6,False,52.5,DC
S1240,18,Male,1.9,1.6,2.3,False,72.0,6.3,Fair,6,Master,Poor,3,False,51.2,DC
S1241,23,Male,4.3,2.7,2.4,True,66.5,5.0,Fair,5,Bachelor,Poor,3,False,60.6,CC
S1242,20,Female,5.3,1.8,2.0,False,83.8,8.4,Good,1,Bachelor,Good,5,False,91.5,AA
S1243,17,Female,4.6,2.2,1.7,False,85.2,7.6,Fair,2,Bachelor,Average,8,False,87.3,BA
S1244,23,Male,5.0,4.5,2.3,False,87.2,7.7,Good,6,High School,Average,8,False,98.0,AA
S1245,22,Female,2.4,4.1,0.0,False,80.5,6.1,Fair,1,Bachelor,Average,3,True,47.9,DD
S1246,17,Male,1.4,0.9,2.6,True,83.0,4.4,Poor,3,Bachelor,Good,8,False,51.0,DC
S1247,17,Female,5.8,3.5,1.9,False,88.7,8.8,Fair,1,Bachelor,Good,8,True,90.0,AA
S1248,17,Female,3.0,3.5,1.6,False,95.4,6.4,Fair,3,High School,Good,3,False,54.1,DC
